Άγγλος: Άγγλους,Άγγλοι,Άγγλου,Άγγλο,Άγγλων
αναφαίνομαι: αναφάνηκες,αναφανείς,αναφάνηκα,αναφανήκατε,αναφανούν,αναφάνηκε,αναφαινόσασταν,αναφανήκαμε,αναφανώ,αναφαινόμαστε,αναφαινόταν,αναφαίνεσαι,αναφανείτε,αναφαίνονται,αναφαινόμασταν,αναφανού,αναφανεί,αναφαινόσουν,αναφαίνονταν,αναφάνηκαν,αναφαινόμουν,αναφαίνεστε,αναφανούμε,αναφαίνεται
αναφαίρετος: αναφαίρετης,αναφαίρετη,αναφαίρετου,αναφαίρετοι,αναφαίρετους,αναφαίρετων,αναφαίρετο,αναφαίρετες,αναφαίρετα
αναφερόμενος: αναφερόμενους,αναφερόμενα,αναφερόμενη,αναφερόμενες,αναφερόμενης,αναφερόμενου,αναφερόμενων,αναφερόμενο,αναφερόμενοι
αναφιλητό: αναφιλητών,αναφιλητού,αναφιλητά
αναφλέγομαι: αναφλεχθείτε,αναφλεγόμασταν,αναφλεγόμαστε,αναφλέχθηκα,αναφλεχθείς,αναφλεγόταν,αναφλεχθήκαμε,αναφλέχθηκαν,αναφλέγεσαι,αναφλεχθώ,αναφλέγεται,αναφλέγονται,αναφλεχθεί,αναφλέχθηκες,αναφλεγόσασταν,αναφλεγόσουν,αναφλεχθήκατε,αναφλέγεστε,αναφλεχθούν,αναφλέξου,αναφλέχθηκε,αναφλεχθούμε,αναφλέγονταν,αναφλεγόμουν
αναφορά: αναφορές,αναφοράς,αναφορών
αναφορικός: αναφορικού,αναφορικό,αναφορικής,αναφορική
αναφωνώ: αναφωνούσατε,αναφωνήσαμε,αναφώνησες,αναφωνείτε,αναφωνούσαμε,αναφωνώντας,αναφώνησαν,αναφωνούσα,αναφωνείς,αναφώνησα,αναφωνούσαν,αναφωνούν,αναφωνήσατε,αναφωνήσει,αναφωνήσω,αναφωνούσε,αναφώνησε,αναφωνούσες,αναφωνήσετε,αναφωνεί,αναφωνήσεις,αναφωνήσουμε,αναφωνούμε,αναφωνήσουν
αναφώνηση: αναφωνήσεων,αναφωνήσεως,αναφωνήσεις,αναφώνησης
αναχαίτηση: αναχαίτησης,αναχαιτήσεις,αναχαιτήσεως,αναχαιτήσεων
αναχαιτίζω: αναχαίτιζα,αναχαιτίσεις,αναχαιτίζοντας,αναχαιτίζετε,αναχαιτίσαμε,αναχαίτισες,αναχαιτίσει,αναχαίτισε,αναχαιτίσω,αναχαιτίζατε,αναχαιτίσουν,αναχαιτίζουν,αναχαίτιζες,αναχαιτίζαμε,αναχαιτίσουμε,αναχαίτιζαν,αναχαιτίσετε,αναχαιτίζεις,αναχαίτισαν,αναχαίτιζε,αναχαιτίζουμ,αναχαίτισα,αναχαιτίσατε,αναχαιτίζει
αναχρονισμός: αναχρονισμοί,αναχρονισμό,αναχρονισμούς,αναχρονισμών,αναχρονισμού
αναχρονιστικός: αναχρονιστικούς,αναχρονιστικές,αναχρονιστικά,αναχρονιστικών,αναχρονιστική,αναχρονιστικοί,αναχρονιστικής,αναχρονιστικού,αναχρονιστικό
αναχωρώ: αναχωρήσει,αναχωρείς,αναχώρησες,αναχωρούσαμε,αναχωρήσατε,αναχωρήσαμε,αναχωρεί,αναχωρήσω,αναχωρούμε,αναχώρησε,αναχώρησα,αναχωρήσουμε,αναχωρούσα,αναχωρήσεις,αναχωρώντας,αναχωρούσαν,αναχωρούσε,αναχωρήσετε,αναχωρούν,αναχωρήσουν,αναχωρούσατε,αναχωρείτε,αναχωρούσες,αναχώρησαν
αναχώρηση: αναχώρησης,αναχωρήσεων,αναχωρήσεις,αναχωρήσεως
αναψυκτήριο: αναψυκτηρίων,αναψυκτήρια,αναψυκτηρίου
αναψυκτικός: αναψυκτικών,αναψυκτική,αναψυκτικού,αναψυκτικής,αναψυκτικά,αναψυκτικές,αναψυκτικοί,αναψυκτικούς,αναψυκτικό
αναψυχή: αναψυχής,αναψυχείς
ανδράποδο: ανδραπόδων,ανδράποδα,ανδραπόδου
ανδραγάθημα: ανδραγαθημάτων,ανδραγαθήματα,ανδραγαθήματος
ανδραγαθία: ανδραγαθιών,ανδραγαθίες,ανδραγαθίας
ανδραδέλφη: ανδραδέλφης,ανδραδέλφες,ανδραδέλφων
ανδρεία: ανδρείας,αντρεία
ανδρείκελο: ανδρείκελων,ανδρεικέλου,ανδρείκελα,ανδρεικέλων,ανδρείκελου
ανδρείος: ανδρείας,ανδρεία,ανδρείου,ανδρείες,ανδρείο,ανδρείων,ανδρείοι,ανδρείους
ανδριάντας: ανδριάντα,ανδριάντες,ανδριάντων
ανδρισμός: ανδρισμού,ανδρισμό
ανδροπρέπεια: ανδροπρέπειας
ανδροπρεπής: ανδροπρεπώς
ανδρόγυνο: ανδρόγυνων,ανδρόγυνου,ανδρόγυνα,αντρόγυνο
ανδρώνομαι: ανδρωθώ,ανδρώνεστε,ανδρωνόταν,ανδρωνόσασταν,ανδρωθούν,ανδρωνόμασταν,ανδρωνόσουν,ανδρωνόμαστε,ανδρώσου,ανδρώθηκα,ανδρώθηκαν,ανδρωθήκατε,ανδρωθεί,ανδρωθείς,ανδρωθούμε,ανδρώνονται,ανδρωθήκαμε,ανδρωθείτε,ανδρωνόμουν,ανδρώθηκες,ανδρώνονταν,ανδρώνεται,ανδρώθηκε,ανδρώνεσαι
ανείπωτος: ανείπωτο,ανείπωτοι,ανείπωτους,ανείπωτα,ανείπωτη,ανείπωτου,ανείπωτων,ανείπωτης,ανείπωτες
ανεβάζω: ανεβάσεις,ανεβάζεις,ανεβάζατε,ανέβαζε,ανέβαζες,ανεβάσουμε,ανεβάσουν,ανεβάζαμε,ανεβάσατε,ανέβαζα,ανεβάζουν,ανέβασες,ανεβάσει,ανεβάζει,ανέβασαν,ανέβασε,ανεβάσαμε,ανεβάζουμε,ανέβαζαν,ανεβάζοντας,ανεβάσετε,ανεβάσω,ανέβασα
ανεβαίνω: ανέβετε,ανεβαίνεις,ανέβει,ανέβουν,ανέβηκε,ανεβαίνετε,ανεβώ,ανεβαίνουμε,ανεβήκατε,ανέβηκες,ανέβα,ανεβαίνουν,ανέβουμε,ανέβεις,ανεβούν,ανεβεί,ανέβω,ανεβήκαμε,ανεβείς,ανεβείτε,ανέβηκα,ανέβηκαν,ανεβαίνει,ανεβούμε
ανεβοκατέβασμα: ανεβοκατεβάσμαος,ανεβοκατεβασμάτων,ανεβοκατεβάσματα
ανεβοκατεβαίνω: ανεβοκατεβαίνει,ανεβοκατεβαίναμε,ανεβοκατεβαίνουμε,ανεβοκατέβαινε,ανεβοκατέβαινες,ανεβοκατεβαίνεις,ανεβοκατέβαιναν,ανεβοκατεβαίνατε,ανεβοκατεβαίνοντας,ανεβοκατέβαινα,ανεβοκατεβαίνουν,ανεβοκατεβαίνετε
ανειλικρίνεια: ανειλικρίνειας
ανειλικρινής: ανειλικρινώς,ανειλικρινές,ανειλικρινή,ανειλικρινών
ανεκδιήγητος: ανεκδιήγητου,ανεκδιήγητες,ανεκδιήγητη,ανεκδιήγητων,ανεκδιήγητοι,ανεκδιήγητους,ανεκδιήγητο,ανεκδιήγητης,ανεκδιήγητα
ανεκδοτολογικά: ανεκδοτολογικών
ανεκμετάλλευτος: ανεκμετάλλευτο,ανεκμετάλλευτου,ανεκμετάλλευτη,ανεκμετάλλευτα,ανεκμετάλλευτες,ανεκμετάλλευτους,ανεκμετάλλευτοι,ανεκμετάλλευτης,ανεκμετάλλευτων
ανεκπλήρωτος: ανεκπλήρωτους,ανεκπλήρωτοι,ανεκπλήρωτου,ανεκπλήρωτα,ανεκπλήρωτο,ανεκπλήρωτες,ανεκπλήρωτη,ανεκπλήρωτων,ανεκπλήρωτης
ανεκτέλεστος: ανεκτέλεστης,ανεκτέλεστους,ανεκτέλεστη,ανεκτέλεστου,ανεκτέλεστες,ανεκτέλεστοι,ανεκτέλεστα,ανεκτέλεστο,ανεκτέλεστων
ανεκτίμητος: ανεκτίμητα,ανεκτίμητου,ανεκτίμητοι,ανεκτίμητων,ανεκτίμητες,ανεκτίμητης,ανεκτίμητο,ανεκτίμητη,ανεκτίμητους
ανεκτικός: ανεκτικά,ανεκτικοί,ανεκτικού,ανεκτικές,ανεκτικούς,ανεκτικής,ανεκτική,ανεκτικών,ανεκτικό
ανεκτικότητα: ανεκτικότητες,ανεκτικοτήτων,ανεκτικότητας
ανεκτός: ανεκτή,ανεκτής,ανεκτών,ανεκτές,ανεκτοί,ανεκτό,ανεκτού,ανεκτά,ανεκτούς
ανελέητος: ανελέητων,ανελέητης,ανελέητη,ανελέητοι,ανελέητα,ανελέητους,ανελέητο,ανελέητου,ανελέητες
ανελεύθερος: ανελεύθερο,ανελεύθερους,ανελεύθερων,ανελεύθερα,ανελεύθερη,ανελεύθεροι,ανελεύθερου,ανελεύθερες,ανελεύθερης
ανελικτικός: ανελικτικώς
ανελκυστήρας: ανελκυστήρ,ανελκυστήρα,ασανσέρ,ανελκυστήρες,ανελκυστήρων
ανελκύω: ανέλκυσες,ανελκύσατε,ανέλκυσε,ανέλκυα,ανελκύει,ανέλκυε,ανέλκυσα,ανελκύουν,ανελκύεις,ανελκύαμε,ανελκύσει,ανελκύσαμε,ανελκύσουμε,ανελκύσουν,ανελκύσεις,ανέλκυες,ανελκύατε,ανέλκυσαν,ανελκύσω,ανελκύοντας,ανελκύουμε,ανελκύσετε,ανελκύετε,ανέλκυαν
ανελλιπής: ανελλιπών,ανελλιπώς,ανελλιπές,ανελλιπή
ανεμίζω: ανεμίζετε,ανεμίσει,ανεμίζατε,ανεμίσαμε,ανέμισαν,ανέμισες,ανέμιζα,ανεμίζει,ανεμίσω,ανέμιζες,ανεμίζεις,ανέμισε,ανεμίσουμε,ανέμιζαν,ανεμίζοντας,ανεμίζαμε,ανέμιζε,ανεμίσατε,ανεμίζουμε,ανεμίζουν,ανεμίσετε,ανέμισα,ανεμίσουν,ανεμίσεις
ανεμιστήρας: ανεμιστήρα,ανεμιστήρων,ανεμιστήρες
ανεμοβλογιά: ανεμοβλογιάς
ανεμογράφος: ανεμογράφο,ανεμογράφου,ανεμογράφοι,ανεμογράφων,ανεμογράφους
ανεμοδαρμένος: ανεμοδαρμένους,ανεμοδαρμένοι,ανεμοδαρμένο,ανεμοδαρμένη,ανεμοδαρμένα,ανεμόδαρτος,ανεμοδαρμένων,ανεμοδαρμένες,ανεμοδαρμένης,ανεμοδαρμένου
ανεμοδείκτης: ανεμοδειχτών,ανεμοδείχτη,ανεμοδείχτες,ανεμοδεικτών,ανεμοδείκτες,ανεμοδείχτης,ανεμοδείκτη
ανεμοθύελλα: ανεμοθύελλας,ανεμοθύελλες,ανεμοθυελλών
ανεμοθώρακας: ανεμοθώρακες,ανεμοθώρακα,ανεμοθωράκων
ανεμοπλάνο: ανεμοπλάνων,ανεμοπλάνα,ανεμοπλάνου
ανεμοστρόβιλος: ανεμοστρόβιλο,ανεμοστρόβιλων,ανεμοστρόβιλους,ανεμοστρόβιλοι,ανεμοστρόβιλου
ανεμπόδιστος: ανεμπόδιστης,ανεμπόδιστες,ανεμπόδιστους,ανεμπόδιστο,ανεμπόδιστοι,ανεμπόδιστων,ανεμπόδιστη,ανεμπόδιστου,ανεμπόδιστα
ανεμόμετρο: ανεμόμετρου,ανεμόμετρων,ανεμόμετρα
ανεμόμυλος: ανεμόμυλου,ανεμόμυλο,ανεμόμυλους,ανεμόμυλοι,ανεμόμυλων
ανεμόσκαλα: ανεμόσκαλας,ανεμόσκαλων,ανεμόσκαλες
ανεμώδης: ανεμώδες,ανεμωδών,ανεμώδη
ανεμώνη: ανεμώνων,ανεμώνες,ανεμώνης,ανεμώνας,ανεμώνα
ανενεργός: ανενεργώς
ανενόχλητος: ανενόχλητης,ανενόχλητη,ανενόχλητοι,ανενόχλητου,ανενόχλητους,ανενόχλητων,ανενόχλητα,ανενόχλητες,ανενόχλητο
ανεξάλειπτος: ανεξάλειπτους,ανεξάλειπτης,ανεξάλειπτη,ανεξάλειπτες,ανεξάλειπτων,ανεξάλειπτοι,ανεξάλειπτο,ανεξάλειπτου,ανεξάλειπτα
ανεξάντλητος: ανεξάντλητο,ανεξάντλητοι,ανεξάντλητες,ανεξάντλητα,ανεξάντλητου,ανεξάντλητους,ανεξάντλητων,ανεξάντλητη,ανεξάντλητης
ανεξάρτητος: ανεξάρτητη,ανεξαρτήτου,ανεξαρτήτους,ανεξάρτητα,ανεξάρτητης,ανεξάρτητες,ανεξάρτητο,ανεξάρτητοι,ανεξαρτήτων
ανεξέλεγκτος: ανεξέλεγκτη,ανεξέλεγκτης,ανεξέλεγκτες,ανεξέλεγκτο,ανεξέλεγκτα,ανεξέλεγκτους,ανεξέλεγκτοι,ανεξέλεγκτων,ανεξέλεγκτου
ανεξέταστος: ανεξέταστο,ανεξέταστου,ανεξέταστους,ανεξέταστα,ανεξέταστων,ανεξέταστοι,ανεξέταστες,ανεξέταστη,ανεξέταστης
ανεξήγητος: ανεξήγητα,ανεξήγητους,ανεξήγητων,ανεξήγητοι,ανεξήγητο,ανεξήγητη,ανεξήγητου,ανεξήγητες,ανεξήγητης
ανεξίτηλος: ανεξίτηλες,ανεξίτηλοι,ανεξίτηλο,ανεξίτηλη,ανεξίτηλης,ανεξίτηλου,ανεξίτηλους,ανεξίτηλων,ανεξίτηλα
ανεξαίρετος: ανεξαίρετη,ανεξαίρετες,ανεξαίρετο,ανεξαίρετοι,ανεξαίρετα,ανεξαίρετων,ανεξαίρετου,ανεξαίρετους,ανεξαίρετης
ανεξακρίβωτος: ανεξακρίβωτο,ανεξακρίβωτοι,ανεξακρίβωτης,ανεξακρίβωτων,ανεξακρίβωτη,ανεξακρίβωτου,ανεξακρίβωτα,ανεξακρίβωτους,ανεξακρίβωτες
ανεξαρτησία: ανεξαρτησίας
ανεξερεύνητος: ανεξερεύνητα,ανεξερεύνητη,ανεξερεύνητου,ανεξερεύνητοι,ανεξερεύνητες,ανεξερεύνητων,ανεξερεύνητης,ανεξερεύνητο,ανεξερεύνητους
ανεξεταστέος: ανεξεταστέη,ανεξεταστέο,ανεξεταστέους,ανεξεταστέα,ανεξεταστέου,ανεξεταστέων,ανεξεταστέοι,ανεξεταστέες,ανεξεταστέης
ανεξιθρησκία: ανεξιθρησκίας
ανεξικακία: ανεξικακίας
ανεξιχνίαστος: ανεξιχνίαστης,ανεξιχνίαστη,ανεξιχνίαστες,ανεξιχνίαστους,ανεξιχνίαστου,ανεξιχνίαστων,ανεξιχνίαστα,ανεξιχνίαστοι,ανεξιχνίαστο
ανεξόφλητος: ανεξόφλητου,ανεξόφλητους,ανεξόφλητες,ανεξόφλητο,ανεξόφλητων,ανεξόφλητα,ανεξόφλητη,ανεξόφλητης,ανεξόφλητοι
ανεπάρκεια: ανεπαρκειών,ανεπάρκειας,ανεπάρκειες
ανεπίδεκτος: ανεπίδεκτη,ανεπίδεκτους,ανεπίδεκτο,ανεπίδεκτης,ανεπίδεκτων,ανεπίδεκτες,ανεπίδεκτα,ανεπίδεκτου,ανεπίδεκτοι
ανεπίσημος: ανεπίσημης,ανεπίσημοι,ανεπίσημες,ανεπίσημα,ανεπίσημους,ανεπίσημων,ανεπίσημη,ανεπίσημο,ανεπίσημου
ανεπίτευκτος: ανεπίτευκτες,ανεπίτευκτων,ανεπίτευκτοι,ανεπίτευκτη,ανεπίτευκτους,ανεπίτευκτου,ανεπίτευκτο,ανεπίτευκτα,ανεπίτευκτης
ανεπαίσθητος: ανεπαίσθητοι,ανεπαίσθητα,ανεπαίσθητη,ανεπαίσθητων,ανεπαίσθητου,ανεπαίσθητης,ανεπαίσθητες,ανεπαίσθητο,ανεπαίσθητους
ανεπανάληπτος: ανεπανάληπτου,ανεπανάληπτο,ανεπανάληπτης,ανεπανάληπτα,ανεπανάληπτοι,ανεπανάληπτων,ανεπανάληπτες,ανεπανάληπτους,ανεπανάληπτη
ανεπανόρθωτος: ανεπανόρθωτης,ανεπανόρθωτο,ανεπανόρθωτων,ανεπανόρθωτες,ανεπανόρθωτου,ανεπανόρθωτα,ανεπανόρθωτοι,ανεπανόρθωτη,ανεπανόρθωτους
ανεπαρκής: ανεπαρκώς,ανεπαρκή,ανεπαρκείς,ανεπαρκών,ανεπαρκούς
ανεπαχθής: ανεπαχθώς
ανεπηρέαστος: ανεπηρέαστη,ανεπηρέαστο,ανεπηρέαστης,ανεπηρέαστα,ανεπηρέαστες,ανεπηρέαστων,ανεπηρέαστοι,ανεπηρέαστους,ανεπηρέαστου
ανεπιεικής: ανεπιεικώς
ανεπιθύμητος: ανεπιθύμητο,ανεπιθύμητες,ανεπιθύμητου,ανεπιθύμητα,ανεπιθύμητη,ανεπιθύμητων,ανεπιθύμητους,ανεπιθύμητοι,ανεπιθύμητης
ανεπιστημονικός: ανεπιστημονικό,ανεπιστημονικών,ανεπιστημονικής,ανεπιστημονικοί,ανεπιστημονικές,ανεπιστημονικά,ανεπιστημονική,ανεπιστημονικούς,ανεπιστημονικού
ανεπιτήδειος: ανεπιτήδειο,ανεπιτήδειοι,ανεπιτήδεια,ανεπιτήδειου,ανεπιτήδειους,ανεπιτήδειας,ανεπιτήδειες,ανεπιτήδειων
ανεπιτήδευτος: ανεπιτήδευτης,ανεπιτήδευτο,ανεπιτήδευτων,ανεπιτήδευτα,ανεπιτήδευτου,ανεπιτήδευτοι,ανεπιτήδευτη,ανεπιτήδευτες,ανεπιτήδευτους
ανεπιτυχής: ανεπιτυχούς,ανεπιτυχή,ανεπιτυχώς,ανεπιτυχές,ανεπιτυχών
ανεπιφύλακτος: ανεπιφύλακτους,ανεπιφύλακτης,ανεπιφύλακτων,ανεπιφύλακτοι,ανεπιφύλακτα,ανεπιφύλακτου,ανεπιφύλακτη,ανεπιφύλακτο,ανεπιφύλακτες
ανεργία: ανεργίας
ανερυθρίαστος: ανερυθρίαστους,ανερυθρίαστο,ανερυθρίαστης,ανερυθρίαστα,ανερυθρίαστοι,ανερυθρίαστων,ανερυθρίαστες,ανερυθρίαστη,ανερυθρίαστου
ανερχόμενος: ανερχόμενα,ανερχόμενης,ανερχόμενη,ανερχόμενο,ανερχομένοι,ανερχόμενου,ανερχόμενες,ανερχόμενoυς,ανερχομένων
ανευλάβεια: ανευλάβειας
ανευλαβής: ανευλαβές,ανευλαβή,ανευλαβώς,ανευλαβών
ανεφάρμοστος: ανεφάρμοστης,ανεφάρμοστους,ανεφάρμοστη,ανεφάρμοστου,ανεφάρμοστα,ανεφάρμοστο,ανεφάρμοστες,ανεφάρμοστων,ανεφάρμοστοι
ανεφοδιάζω: ανεφοδίασες,ανεφοδίαζαν,ανεφοδιάσουν,ανεφοδιάζουμε,ανεφοδιάσεις,ανεφοδιάσετε,ανεφοδιάζεις,ανεφοδιάσατε,ανεφοδιάζετε,ανεφοδιάζαμε,ανεφοδιάζατε,ανεφοδίασαν,ανεφοδιάζουν,ανεφοδιάσουμε,ανεφοδίαζε,ανεφοδιάσω,ανεφοδιάζοντας,ανεφοδιάσαμε,ανεφοδιάσει,ανεφοδίαζες,ανεφοδίασα,ανεφοδίαζα,ανεφοδίασε,ανεφοδιάζει
ανεφοδιασμός: ανεφοδιασμοί,ανεφοδιασμούς,ανεφοδιασμών,ανεφοδιασμό,ανεφοδιασμού
ανεψιά: ανεψιές,ανεψιών,ανεψιάς
ανεψιός: ανεψιού,ανεψιό,ανεψιοί,ανεψιούς,ανεψιών
ανεύθυνος: ανεύθυνοι,ανεύθυνους,ανεύθυνης,ανεύθυνα,ανεύθυνων,ανεύθυνου,ανεύθυνη,ανεύθυνο,ανεύθυνες
ανεύρεση: ανευρέσεων,ανευρέσεως,ανευρέσεις,ανεύρεσης
ανεύρετος: ανεύρετο,ανεύρετης,ανεύρετοι,ανεύρετους,ανεύρετη,ανεύρετα,ανεύρετες,ανεύρετου,ανεύρετων
ανεύρυσμα: ανευρυσμάτων,ανευρύσματα,ανευρύσματος
ανηθικότητα: ανηθικότητας
ανηλεής: ανήλεα,ανήλεος,ανήλεων,ανήλεους,ανηλεείς,ανήλεοι,ανήλεο,ανηλεώς,ανήλεες,ανηλεές,ανηλεών,ανηλεή,ανήλεου
ανηλικιότητα: ανηλικιότητας
ανησυχία: ανησυχίες,ανησυχίας,ανησυχιών
ανησυχητικός: ανησυχητική,ανησυχητικού,ανησυχητικών,ανησυχητικής,ανησυχητικούς,ανησυχητικές,ανησυχητικοί,ανησυχητικά,ανησυχητικό
ανησυχώ: ανησυχήσει,ανησυχούσα,ανησυχούσατε,ανησυχήσουν,ανησυχήσετε,ανησύχησες,ανησυχήσεις,ανησυχεί,ανησυχούσαν,ανησυχήσαμε,ανησυχήσουμε,ανησυχούσαμε,ανησυχείς,ανησυχούν,ανησυχήσατε,ανησυχώντας,ανησυχούσες,ανησυχήσω,ανησύχησαν,ανησύχησα,ανησυχούσε,ανησυχείτε,ανησύχησε,ανησυχούμε
ανηφορίζω: ανηφορίσουν,ανηφορίζαμε,ανηφορίζετε,ανηφορίζουμε,ανηφορίσει,ανηφορίσω,ανηφορίζατε,ανηφορίσεις,ανηφορίζοντας,ανηφορίζει,ανηφορίσαμε,ανηφορίσουμε,ανηφόριζε,ανηφόριζαν,ανηφορίζεις,ανηφορίσετε,ανηφορίσατε,ανηφορίζουν,ανηφόρισα,ανηφόριζα,ανηφόρισαν,ανηφόριζες,ανηφόρισε
ανηφορικά: ανηφορικών
ανηφορικό: ανηφορικά
ανηφορικός: ανηφορικών,ανηφορικές,ανηφορική,ανηφορικού,ανηφορικούς,ανηφορικό,ανηφορικά,ανηφορικής,ανηφορικοί,κατηφορικός
ανθίζω: ανθίζαμε,ανθίσαμε,ανθίσεις,άνθιζες,ανθίζετε,άνθισες,άνθιζαν,ανθίζεις,ανθίζοντας,ανθίσει,ανθίσατε,ανθίζουν,ανθίζουμε,ανθίζατε,ανθίζει,άνθισε,ανθίσω,ανθίσουν,άνθισαν,άνθιζε,άνθιζα,ανθίσετε,ανθίσουμε,άνθισα
ανθεκτικός: ανθεκτικοί,ανθεκτική,ανθεκτικά,ανθεκτικούς,ανθεκτικού,ανθεκτικών,ανθεκτικές,ανθεκτικής,ανθεκτικό
ανθεκτικότητα: ανθεκτικότητας
ανθεστήρια: ανθεστήριας
ανθηρός: ανθηρούς,ανθηρή,ανθηρό,ανθηρά,ανθηρές,ανθηρού,ανθηρών,ανθηρής,ανθηρώς,ανθηροί
ανθιά: ανθιών
ανθισμένος: ανθισμένο,ανθισμένες,ανθισμένοι,ανθισμένα,ανθισμένων,ανθισμένους,ανθισμένης,ανθισμένη,ανθισμένου
ανθοδέσμη: ανθοδεσμών,μπουκέτο,ανθοδέσμες,ανθοδέσμης
ανθοδοχείο: ανθοδοχείων,ανθοδοχεία,ανθοδοχείου
ανθοκομία: ανθοκομίας
ανθοκομικά: ανθοκομικών
ανθοκόμος: ανθοκόμο,ανθοκόμους,ανθοκόμων,ανθοκόμου,ανθοκόμοι
ανθολογία: ανθολογίας,ανθολογιών,ανθολογίες
ανθολογικός: ανθολογικά,ανθολογικών,ανθολογικό,ανθολογική,ανθολογικού,ανθολογικοί,ανθολογικής,ανθολογικές,ανθολογικούς
ανθοπωλείο: ανθοπωλείου,ανθοπωλείων,ανθοπωλεία
ανθοπώλης: ανθοπώλη,ανθοπωλών,ανθοπώλες
ανθρακίτης: ανθρακίτη
ανθρακαέριο: ανθρακαέρια,ανθρακαερίου,ανθρακαερίων
ανθρακαποθήκη: ανθρακαποθήκες,ανθρακαποθήκης,ανθρακαποθηκών
ανθρακικό: ανθρακικά
ανθρακικός: ανθρακικοί,ανθρακικών,ανθρακικής,ανθρακικές,ανθρακικού,ανθρακικούς,ανθρακικά,ανθρακικό,ανθρακική
ανθρακούχος: ανθρακούχης,ανθρακούχες,ανθρακούχους,ανθρακούχων,ανθρακούχο,ανθρακούχα,ανθρακούχοι,ανθρακούχη,ανθρακούχου
ανθρακωρυχείο: ανθρακωρυχεία,ανθρακωρυχείων,ανθρακωρυχείου
ανθρακωρύχος: ανθρακωρύχους,ανθρακωρύχων,ανθρακωρύχοι,ανθρακωρύχου,ανθρακωρύχο
ανθρωπάριο: ανθρωπάριου,ανθρωπάρια,ανθρωπάριων
ανθρωπινά: ανθρωπινών
ανθρωπινό: ανθρωπινά
ανθρωπισμός: ανθρωπιά,ανθρωπισμό,ανθρωπισμού
ανθρωπιστής: ανθρωπιστές,ανθρωπιστών,ανθρωπιστή,ουμανιστής
ανθρωπιστικός: ανθρωπιστικώς
ανθρωπογεωγραφικά: ανθρωπογεωγραφικών
ανθρωποειδής: ανθρωποειδών,ανθρωποειδές,ανθρωποειδή
ανθρωποκτονία: ανθρωποκτονίας,ανθρωποκτονίες,ανθρωποκτονιών
ανθρωπολογικά: ανθρωπολογικών
ανθρωπομετρικά: ανθρωπομετρικών
ανθρωποφάγος: ανθρωποφάγου,ανθρωποφάγων,ανθρωποφάγες,ανθρωποφάγους,ανθρωποφάγη,ανθρωποφάγα,ανθρωποφάγης,ανθρωποφάγο,ανθρωποφάγοι
ανθρωποφαγία: ανθρωποφαγίας
ανθρωπόμορφος: ανθρωπόμορφα,ανθρωπόμορφου,ανθρωπόμορφων,ανθρωπόμορφο,ανθρωπόμορφη,ανθρωπόμορφες,ανθρωπόμορφης,ανθρωπόμορφοι,ανθρωπόμορφους
ανθρωπότητα: ανθρωπότητας
ανθρώπινος: ανθρώπινους,ανθρώπινη,ανθρώπινα,ανθρώπινης,ανθρώπινοι,ανθρώπινο,ανθρώπινων,ανθρώπινες,ανθρώπινου
ανθυγιεινός: ανθυγιεινοί,ανθυγιεινά,ανθυγιεινούς,ανθυγιεινές,ανθυγιεινής,ανθυγιεινό,ανθυγιεινώς,ανθυγιεινών,ανθυγιεινή,ανθυγιεινού
ανθυπασπιστής: ανθυπασπιστών,ανθυπασπιστές,ανθυπασπιστή
ανθυπολοχαγός: ανθυπολοχαγού,ανθυπολοχαγό
ανθυπομοίραρχος: ανθυπομοίραρχο,ανθυπομοίραρχου
ανθυποσμηναγός: ανθυποσμηναγού,ανθυποσμηναγανθυποσμηναγών,ανθυποσμηναγούς,ανθυποσμηναγοί,ανθυποσμηναγό
ανθόκηπος: ανθόκηπου,ανθόκηποι,ανθόκηπους,ανθόκηπων,ανθόκηπο
ανθόνερο: ανθόνερου
ανθόσπαρτος: ανθόσπαρτοι,ανθόσπαρτη,ανθόσπαρτων,ανθόσπαρτες,ανθόσπαρτους,ανθόσπαρτης,ανθόσπαρτου,ανθόσπαρτα,ανθόσπαρτο
ανθώ: ανθήσει,ανθεί,ανθήσουν,ανθώντας,ανθούσε,άνθησαν,ανθούν,άνθησε,ανθούσαν
ανιαρός: ανιαρής,ανιαρή,ανιαρού,ανιαρούς,ανιαρών,ανιαρά,ανιαρό,ανιαρές,ανιαροί
ανιδιοτελής: ανιδιοτελές,ανιδιοτελώς,ανιδιοτελούς,ανιδιοτελών
ανικανοποίητος: ανικανοποίητης,ανικανοποίητου,ανικανοποίητη,ανικανοποίητο,ανικανοποίητες,ανικανοποίητων,ανικανοποίητους,ανικανοποίητοι,ανικανοποίητα
ανιλίνη: ανιλίνης
ανισοβαρής: ανισοβαρώς
ανισομερής: ανισομερώς
ανισορροπία: ανισορροπίας
ανισοϋψής: ανισοϋψώς
ανιστόρητος: ανιστόρητα,ανιστόρητο,ανιστόρητες,ανιστόρητων,ανιστόρητους,ανιστόρητοι,ανιστόρητου,ανιστόρητη,ανιστόρητης
ανισόρροπος: ανισόρροπη,ανισόρροπους,ανισόρροπα,ανισόρροπο,ανισόρροπες,ανισόρροπης,ανισόρροπων,ανισόρροποι,ανισόρροπου
ανισότητα: ανισότητας
ανιχνευτής: ανιχνευτών,ανιχνευτή,ανιχνευτές
